Node,Closeness_Centrality
2329,0.267925322430328
785,0.26791726791726794
3120,0.2678608998827808
676,0.2678045555622333
4400,0.26778041525194557
193,0.2677723694489514
4848,0.2677723694489514
1288,0.2677160623629427
283,0.2675392512983699
4896,0.2674108080535302
4355,0.2674027844455113
1568,0.26737069482779313
146,0.26737069482779313
3104,0.2673305936347002
5121,0.2673225748395225
2305,0.2672504273247968
3456,0.2671943395095041
248,0.2671462829736211
81,0.2671462829736211
2176,0.2671462829736211
97,0.26710624906338976
2340,0.26710624906338976
321,0.26709023885875266
784,0.2670822344761448
754,0.2669382375846163
2376,0.2669382375846163
9472,0.26690625935908957
2081,0.2668982659998203
1286,0.2668982659998203
1283,0.2668982659998203
8232,0.2668982659998203
4369,0.26688228071751563
4688,0.2668662973499027
395,0.26682634730538923
1120,0.2668023830194893
2566,0.2668023830194893
2084,0.26673849929663884
2289,0.2667145507870952
896,0.26668262612963073
4114,0.2666347534705601
8288,0.266547031553761
2130,0.2665390596961359
2608,0.26646733442966064
4384,0.2664115747937343
289,0.2663956477551264
2353,0.2663558384888969
5164,0.26633991811362484
2053,0.26629216840469716
8197,0.2662444358139396
8328,0.2662205759349982
3202,0.2662126235923171
2688,0.2661808189719542
200,0.26614107388162217
4512,0.2660536764486372
5123,0.2660219097937375
2086,0.26600602931080797
8320,0.26598221214110906
2818,0.26598221214110906
5888,0.26597427403229174
276,0.2659425263346364
304,0.26587905367105225
912,0.26584732869969874
41,0.26579182821354014
5185,0.26576012405319976
2596,0.2657442748091603
4370,0.2657284274554237
3600,0.2656729765985989
1538,0.26561754887935146
1800,0.2656017166358705
3078,0.2655858862796519
176,0.26556214428320274
6152,0.26552258372065307
5120,0.26550676279568614
1168,0.2654434979448383
1060,0.2654197813979808
2354,0.2654197813979808
2355,0.26541187682411105
600,0.2653802632362575
1569,0.2653486571785863
4640,0.2653407568404442
2834,0.26533285697272835
138,0.26531705864840727
2208,0.265309160191718
770,0.265309160191718
4376,0.265309160191718
648,0.26526967496130494
5125,0.2652223081959407
373,0.2651591788158286
2705,0.2651512897563298
1072,0.26511185149928607
1160,0.2651039652556742
8898,0.26507242497248745
2840,0.26504877468474897
644,0.26504089219330856
536,0.26500148676776686
672,0.2649936070886979
2321,0.264922711058264
1760,0.264922711058264
3441,0.26489908747733554
641,0.2648754681091363
112,0.26478889978310605
2118,0.2647731661665528
308,0.26474956924722237
3312,0.26469452612195193
496,0.26463950587955815
769,0.2645216823484017
4101,0.2644745823070303
5162,0.2644039636859906
1281,0.2643961195004005
4416,0.2643804325254383
2313,0.26434122323070536
1796,0.26430986416750696
440,0.26427851254374
4362,0.2642471683567574
8194,0.26423933347169926
4388,0.26423933347169926
1029,0.2642236650953186
1216,0.26413752222880854
4132,0.26405925925925927
1268,0.26404361223038636
2051,0.2640123237350397
1093,0.2640123237350397
8960,0.26399668226790685
8209,0.2639654048930751
396,0.2639654048930751
