Node,Degree
2513,10
793,10
9286,10
2091,10
2093,10
2069,10
2078,10
2948,10
4753,10
3408,10
1798,10
1816,10
3594,10
3598,10
4117,10
2500,10
61,10
8849,10
3409,10
1331,10
2345,10
5505,10
2792,10
9238,10
1084,10
210,10
9776,10
1528,10
8280,10
8281,10
4552,10
559,10
2034,10
4737,10
4739,10
499,10
1349,10
2984,10
5952,10
6128,10
2481,10
2482,10
4377,10
1826,10
220,10
6913,10
4568,10
3121,10
3124,10
1336,10
1315,10
675,10
3394,10
1098,10
2362,10
2364,10
419,10
5010,10
1046,10
736,10
6704,10
6659,10
163,10
4119,10
4121,10
398,10
5400,10
5368,10
9860,10
6166,10
6194,10
2978,10
660,10
1361,10
4700,10
4600,10
3093,10
2450,10
5408,10
85,10
782,10
4706,10
4708,10
9368,10
1353,10
4163,10
2377,10
2358,10
5072,10
4611,10
225,10
226,10
167,10
1858,10
1864,10
540,10
6212,10
6210,10
1952,10
8388,10
1396,10
3345,10
107,10
8709,10
8713,10
9219,10
2389,10
2392,10
2425,10
1410,10
1414,10
2437,10
2446,10
9520,10
2721,10
2722,10
2724,10
5146,10
4631,10
4642,10
1417,10
8360,10
3340,10
3313,10
6472,10
9736,10
3060,10
250,10
6282,10
2412,10
2744,10
5126,10
5130,10
8724,10
9296,10
4650,10
1921,10
9792,10
4135,10
5432,10
2435,10
764,10
6416,10
3746,10
805,10
809,10
3876,10
2638,10
1634,10
1608,10
2616,10
836,10
9008,10
3826,10
3825,10
30,10
299,9
3864,9
3858,9
3857,9
9016,9
3651,9
1612,9
4412,9
8215,9
9349,9
5644,9
4227,9
4231,9
2246,9
5635,9
717,9
9249,9
9250,9
571,9
3236,9
1587,9
4387,9
4394,9
4396,9
4397,9
4641,9
1420,9
1429,9
1432,9
6480,9
1888,9
1415,9
6284,9
6296,9
1976,9
2402,9
5443,9
5127,9
8722,9
93,9
4652,9
3347,9
105,9
9223,9
5448,9
5450,9
1413,9
6401,9
6406,9
1904,9
1009,9
1012,9
2438,9
2444,9
9602,9
1464,9
4630,9
3081,9
227,9
228,9
1442,9
1444,9
4593,9
6214,9
6217,9
6224,9
6226,9
6198,9
1984,9
254,9
4678,9
4686,9
1400,9
985,9
8769,9
775,9
1842,9
4705,9
4150,9
1051,9
1067,9
2757,9
2764,9
3352,9
539,9
646,9
647,9
8327,9
6560,9
2468,9
3364,9
135,9
139,9
8424,9
4342,9
4345,9
1422,9
6211,9
4692,9
4602,9
8341,9
1457,9
2458,9
2460,9
91,9
9752,9
3113,9
6694,9
547,9
1337,9
677,9
3402,9
1097,9
5032,9
6661,9
1480,9
8338,9
4365,9
8786,9
970,9
4123,9
3300,9
8274,9
1505,9
6920,9
1795,9
4328,9
8451,9
2961,9
4744,9
4746,9
4748,9
9376,9
527,9
1832,9
6801,9
9746,9
595,9
3140,9
1781,9
3416,9
4305,9
2346,9
4948,9
4994,9
9237,9
1059,9
1094,9
4322,9
173,9
9778,9
8292,9
3296,9
936,9
787,9
5296,9
1306,9
2106,9
2945,9
2949,9
9664,9
9288,9
1321,9
4294,9
3596,9
4115,9
77,9
9104,9
5381,9
918,9
3610,9
4110,9
2700,9
9512,9
4760,9
2929,9
4769,9
4290,9
4291,9
4293,9
1323,9
1299,9
1305,9
179,9
932,9
4808,9
2140,9
1273,9
1109,9
1114,9
2291,9
2323,9
2330,9
2333,9
9498,9
9090,9
630,9
9312,9
9320,9
8266,9
8865,9
